********LEGEND FOR FIELD NAMES LOCATED AT BOTTOM OF FILE************
Station_Code,isSWMP,m/d/y hh:mm,See Legend,See Legend,See Legend, C,Flag Code See Legend,mS/cm,Flag Code See Legend,psu,Flag Code See Legend,%,Flag Code See Legend,mg/L,Flag Code See Legend,m,Flag Code,m,Flag Code See Legend,m,Flag Code See Legend,m,Flag Code See Legend,Units,Flag Code See Legend,FNU/NTU,Flag Code See Legend
"Station_Code","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_pct","F_DO_pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb",
tjrbrwq,P,04/07/2022 00:00,1,1,,16.7,<0> ,50.73,<0> ,33.3,<0> ,79.3,<0> ,6.3,<0> ,,<-1> ,,,1.50,<5> [SIC] (CSM),1.47,<3> [GCC],8.0,<0> ,2,<0> ,
tjrbrwq,P,04/07/2022 00:15,1,1,,16.7,<0> ,50.73,<0> ,33.3,<0> ,71.5,<0> ,5.7,<0> ,,<-1> ,,,1.51,<5> [SIC] (CSM),1.48,<3> [GCC],8.0,<0> ,3,<0> ,
tjrbrwq,P,04/07/2022 00:30,1,1,,16.7,<0> ,50.73,<0> ,33.3,<0> ,65.7,<0> ,5.2,<0> ,,<-1> ,,,1.49,<5> [SIC] (CSM),1.46,<3> [GCC],7.9,<0> ,2,<0> ,
tjrbrwq,P,04/07/2022 00:45,1,1,,16.7,<0> ,50.72,<0> ,33.3,<0> ,74.6,<0> ,5.9,<0> ,,<-1> ,,,1.46,<5> [SIC] (CSM),1.43,<3> [GCC],8.0,<0> ,2,<0> ,
tjrbrwq,P,04/07/2022 01:00,1,1,,16.6,<0> ,50.71,<0> ,33.3,<0> ,76.9,<0> ,6.1,<0> ,,<-1> ,,,1.45,<5> [SIC] (CSM),1.42,<3> [GCC],8.0,<0> ,3,<0> ,
tjrbrwq,P,04/07/2022 01:15,1,1,,16.6,<0> ,50.69,<0> ,33.3,<0> ,74.5,<0> ,5.9,<0> ,,<-1> ,,,1.44,<5> [SIC] (CSM),1.41,<3> [GCC],8.0,<0> ,3,<0> ,
tjrbrwq,P,04/07/2022 01:30,1,1,,16.6,<0> ,50.67,<0> ,33.3,<0> ,75.4,<0> ,6.0,<0> ,,<-1> ,,,1.42,<5> [SIC] (CSM),1.39,<3> [GCC],8.0,<0> ,2,<0> ,
tjrbrwq,P,04/07/2022 01:45,1,1,,16.6,<0> ,50.66,<0> ,33.3,<0> ,71.9,<0> ,5.7,<0> ,,<-1> ,,,1.40,<5> [SIC] (CSM),1.37,<3> [GCC],7.9,<0> ,2,<0> ,
tjrbrwq,P,04/07/2022 02:00,1,1,,16.5,<0> ,50.65,<0> ,33.3,<0> ,70.8,<0> ,5.7,<0> ,,<-1> ,,,1.36,<5> [SIC] (CSM),1.33,<3> [GCC],7.9,<0> ,2,<0> ,
tjrbrwq,P,04/07/2022 02:15,1,1,,16.6,<0> ,50.61,<0> ,33.2,<0> ,67.7,<0> ,5.4,<0> ,,<-1> ,,,1.34,<5> [SIC] (CSM),1.31,<3> [GCC],7.9,<0> ,2,<0> ,
tjrbrwq,P,04/07/2022 02:30,1,1,,16.6,<0> ,50.59,<0> ,33.2,<0> ,63.1,<0> ,5.0,<0> ,,<-1> ,,,1.31,<5> [SIC] (CSM),1.28,<3> [GCC],7.9,<0> ,2,<0> ,
tjrbrwq,P,04/07/2022 02:45,1,1,,16.6,<0> ,50.57,<0> ,33.2,<0> ,59.1,<0> ,4.7,<0> ,,<-1> ,,,1.28,<5> [SIC] (CSM),1.25,<3> [GCC],7.9,<0> ,2,<0> ,
tjrbrwq,P,04/07/2022 03:00,1,1,,16.6,<0> ,50.56,<0> ,33.2,<0> ,53.1,<0> ,4.2,<0> ,,<-1> ,,,1.24,<5> [SIC] (CSM),1.22,<3> [GCC],7.8,<0> ,2,<0> ,
tjrbrwq,P,04/07/2022 03:15,1,1,,16.7,<0> ,50.50,<0> ,33.2,<0> ,48.3,<0> ,3.9,<0> ,,<-1> ,,,1.22,<5> [SIC] (CSM),1.20,<3> [GCC],7.8,<0> ,2,<0> ,
tjrbrwq,P,04/07/2022 03:30,1,1,,16.7,<0> ,50.47,<0> ,33.1,<0> ,44.0,<0> ,3.5,<0> ,,<-1> ,,,1.19,<5> [SIC] (CSM),1.17,<3> [GCC],7.8,<0> ,2,<0> ,
tjrbrwq,P,04/07/2022 03:45,1,1,,16.8,<0> ,50.33,<0> ,33.0,<0> ,43.3,<0> ,3.4,<0> ,,<-1> ,,,1.16,<5> [SIC] (CSM),1.14,<3> [GCC],7.8,<0> ,2,<0> ,
tjrbrwq,P,04/07/2022 04:00,1,1,,16.8,<0> ,50.37,<0> ,33.1,<0> ,38.4,<0> ,3.1,<0> ,,<-1> ,,,1.13,<5> [SIC] (CSM),1.11,<3> [GCC],7.8,<0> ,2,<0> ,
tjrbrwq,P,04/07/2022 04:15,1,1,,16.7,<0> ,50.44,<0> ,33.1,<0> ,36.6,<0> (CDA),2.9,<0> (CDA),,<-1> ,,,1.10,<5> [SIC] (CSM),1.08,<3> [GCC],7.7,<0> ,2,<0> ,
tjrbrwq,P,04/07/2022 04:30,1,1,,16.7,<0> ,50.53,<0> ,33.2,<0> ,32.7,<0> (CDA),2.6,<0> (CDA),,<-1> ,,,1.07,<5> [SIC] (CSM),1.05,<3> [GCC],7.7,<0> ,2,<0> ,
tjrbrwq,P,04/07/2022 04:45,1,1,,16.6,<0> ,50.55,<0> ,33.2,<0> ,28.0,<0> (CDA),2.2,<0> (CDA),,<-1> ,,,1.05,<5> [SIC] (CSM),1.03,<3> [GCC],7.7,<0> ,2,<0> ,
tjrbrwq,P,04/07/2022 05:00,1,1,,16.7,<0> ,50.55,<0> ,33.2,<0> ,27.1,<0> (CDA),2.2,<0> (CDA),,<-1> ,,,1.03,<5> [SIC] (CSM),1.00,<3> [GCC],7.7,<0> ,2,<0> ,
tjrbrwq,P,04/07/2022 05:15,1,1,,16.7,<0> ,50.54,<0> ,33.2,<0> ,25.9,<0> (CDA),2.1,<0> (CDA),,<-1> ,,,1.01,<5> [SIC] (CSM),0.98,<3> [GCC],7.7,<0> ,2,<0> ,
tjrbrwq,P,04/07/2022 05:30,1,1,,16.7,<0> ,50.54,<0> ,33.2,<0> ,19.6,<0> (CDA),1.6,<0> (CDA),,<-1> ,,,0.99,<5> [SIC] (CSM),0.96,<3> [GCC],7.6,<0> ,2,<0> ,
tjrbrwq,P,04/07/2022 05:45,1,1,,16.7,<0> ,50.54,<0> ,33.2,<0> ,18.0,<0> (CDA),1.4,<0> (CDA),,<-1> ,,,0.97,<5> [SIC] (CSM),0.94,<3> [GCC],7.6,<0> ,2,<0> ,
tjrbrwq,P,04/07/2022 06:00,1,1,,16.7,<0> ,50.53,<0> ,33.2,<0> ,17.5,<0> (CDA),1.4,<0> (CDA),,<-1> ,,,0.95,<5> [SIC] (CSM),0.92,<3> [GCC],7.6,<0> ,2,<0> ,
tjrbrwq,P,04/07/2022 06:15,1,1,,16.7,<0> ,50.54,<0> ,33.2,<0> ,20.4,<0> (CDA),1.6,<0> (CDA),,<-1> ,,,0.94,<5> [SIC] (CSM),0.91,<3> [GCC],7.6,<0> ,3,<0> ,
tjrbrwq,P,04/07/2022 06:30,1,1,,16.7,<0> ,50.54,<0> ,33.2,<0> ,15.9,<0> (CDA),1.3,<0> (CDA),,<-1> ,,,0.92,<5> [SIC] (CSM),0.89,<3> [GCC],7.6,<0> ,3,<0> ,
tjrbrwq,P,04/07/2022 06:45,1,1,,16.7,<0> ,50.54,<0> ,33.2,<0> ,12.8,<0> (CDA),1.0,<0> (CDA),,<-1> ,,,0.91,<5> [SIC] (CSM),0.88,<3> [GCC],7.6,<0> ,3,<0> ,
tjrbrwq,P,04/07/2022 07:00,1,1,,16.7,<0> ,50.56,<0> ,33.2,<0> ,11.1,<0> (CDA),0.9,<0> (CDA),,<-1> ,,,0.89,<5> [SIC] (CSM),0.86,<3> [GCC],7.6,<0> ,3,<0> ,
tjrbrwq,P,04/07/2022 07:15,1,1,,16.7,<0> ,50.55,<0> ,33.2,<0> ,7.3,<0> (CDA),0.6,<0> (CDA),,<-1> ,,,0.88,<5> [SIC] (CSM),0.85,<3> [GCC],7.6,<0> ,2,<0> ,
tjrbrwq,P,04/07/2022 07:30,1,1,,16.7,<0> ,50.56,<0> ,33.2,<0> ,5.6,<0> (CDA),0.5,<0> (CDA),,<-1> ,,,0.87,<5> [SIC] (CSM),0.84,<3> [GCC],7.5,<0> ,3,<0> ,
tjrbrwq,P,04/07/2022 07:45,1,1,,16.7,<0> ,50.56,<0> ,33.2,<0> ,5.9,<0> (CDA),0.5,<0> (CDA),,<-1> ,,,0.86,<5> [SIC] (CSM),0.82,<3> [GCC],7.6,<0> ,2,<0> ,
tjrbrwq,P,04/07/2022 08:00,1,1,,16.7,<0> ,50.57,<0> ,33.2,<0> ,4.7,<0> (CDA),0.4,<0> (CDA),,<-1> ,,,0.85,<5> [SIC] (CSM),0.81,<3> [GCC],7.5,<0> ,3,<0> ,
tjrbrwq,P,04/07/2022 08:15,1,1,,16.7,<0> ,50.57,<0> ,33.2,<0> ,4.2,<0> (CDA),0.3,<0> (CDA),,<-1> ,,,0.84,<5> [SIC] (CSM),0.81,<3> [GCC],7.5,<0> ,2,<0> ,
tjrbrwq,P,04/07/2022 08:30,1,1,,16.7,<0> ,50.57,<0> ,33.2,<0> ,3.5,<0> (CDA),0.3,<0> (CDA),,<-1> ,,,0.83,<5> [SIC] (CSM),0.79,<3> [GCC],7.5,<0> ,2,<0> ,
tjrbrwq,P,04/07/2022 08:45,1,1,,16.7,<0> ,50.56,<0> ,33.2,<0> ,2.7,<0> (CDA),0.2,<0> (CDA),,<-1> ,,,0.82,<5> [SIC] (CSM),0.78,<3> [GCC],7.5,<0> ,2,<0> ,
tjrbrwq,P,04/07/2022 09:00,1,1,,16.8,<0> ,50.56,<0> ,33.2,<0> ,2.4,<0> (CDA),0.2,<0> (CDA),,<-1> ,,,0.81,<5> [SIC] (CSM),0.78,<3> [GCC],7.5,<0> ,3,<0> ,
tjrbrwq,P,04/07/2022 09:15,1,1,,16.8,<0> ,50.55,<0> ,33.2,<0> ,3.0,<0> (CDA),0.2,<0> (CDA),,<-1> ,,,0.81,<5> [SIC] (CSM),0.78,<3> [GCC],7.5,<0> ,2,<0> ,
tjrbrwq,P,04/07/2022 09:30,1,1,,16.8,<0> ,50.55,<0> ,33.2,<0> ,1.7,<0> (CDA),0.1,<0> (CDA),,<-1> ,,,0.80,<5> [SIC] (CSM),0.77,<3> [GCC],7.5,<0> ,2,<0> ,
tjrbrwq,P,04/07/2022 09:45,1,1,,16.8,<0> ,50.55,<0> ,33.2,<0> ,2.6,<0> (CDA),0.2,<0> (CDA),,<-1> ,,,0.79,<5> [SIC] (CSM),0.76,<3> [GCC],7.5,<0> ,3,<0> ,
tjrbrwq,P,04/07/2022 10:00,1,1,,16.9,<0> ,50.54,<0> ,33.2,<0> ,4.9,<0> (CDA),0.4,<0> (CDA),,<-1> ,,,0.79,<5> [SIC] (CSM),0.76,<3> [GCC],7.5,<0> ,3,<0> ,
tjrbrwq,P,04/07/2022 10:15,1,1,,17.0,<0> ,50.52,<0> ,33.2,<0> ,8.5,<0> (CDA),0.7,<0> (CDA),,<-1> ,,,0.78,<5> [SIC] (CSM),0.75,<3> [GCC],7.6,<0> ,4,<0> ,
tjrbrwq,P,04/07/2022 10:30,1,1,,17.2,<0> ,50.49,<0> ,33.2,<0> ,7.9,<0> (CDA),0.6,<0> (CDA),,<-1> ,,,0.78,<5> [SIC] (CSM),0.75,<3> [GCC],7.6,<0> ,4,<0> ,
tjrbrwq,P,04/07/2022 10:45,1,1,,17.4,<0> ,50.45,<0> ,33.1,<0> ,7.1,<0> (CDA),0.6,<0> (CDA),,<-1> ,,,0.78,<5> [SIC] (CSM),0.75,<3> [GCC],7.6,<0> ,4,<0> ,
tjrbrwq,P,04/07/2022 11:00,1,1,,17.3,<0> ,50.44,<0> ,33.1,<0> ,4.5,<0> (CDA),0.4,<0> (CDA),,<-1> ,,,0.77,<5> [SIC] (CSM),0.74,<3> [GCC],7.5,<0> ,4,<0> ,
tjrbrwq,P,04/07/2022 11:15,1,1,,17.4,<0> ,50.45,<0> ,33.1,<0> ,3.8,<0> (CDA),0.3,<0> (CDA),,<-1> ,,,0.77,<5> [SIC] (CSM),0.74,<3> [GCC],7.5,<0> ,4,<0> ,
tjrbrwq,P,04/07/2022 11:30,1,1,,17.3,<0> ,50.46,<0> ,33.1,<0> ,4.5,<0> (CDA),0.4,<0> (CDA),,<-1> ,,,0.77,<5> [SIC] (CSM),0.74,<3> [GCC],7.5,<0> ,4,<0> ,
tjrbrwq,P,04/07/2022 11:45,1,1,,17.4,<0> ,50.47,<0> ,33.2,<0> ,8.3,<0> (CDA),0.7,<0> (CDA),,<-1> ,,,0.77,<5> [SIC] (CSM),0.75,<3> [GCC],7.6,<0> ,5,<0> ,
tjrbrwq,P,04/07/2022 12:00,1,1,,17.4,<0> ,50.50,<0> ,33.2,<0> ,6.5,<0> (CDA),0.5,<0> (CDA),,<-1> ,,,0.77,<5> [SIC] (CSM),0.75,<3> [GCC],7.6,<0> ,5,<0> ,
tjrbrwq,P,04/07/2022 12:15,1,1,,17.4,<0> ,50.44,<0> ,33.1,<0> ,7.5,<0> (CDA),0.6,<0> (CDA),,<-1> ,,,0.77,<5> [SIC] (CSM),0.75,<3> [GCC],7.5,<0> ,4,<0> ,
tjrbrwq,P,04/07/2022 12:30,1,1,,17.5,<0> ,50.37,<0> ,33.1,<0> ,13.3,<0> (CDA),1.0,<0> (CDA),,<-1> ,,,0.78,<5> [SIC] (CSM),0.76,<3> [GCC],7.6,<0> ,5,<0> ,
tjrbrwq,P,04/07/2022 12:45,1,1,,17.6,<0> ,50.41,<0> ,33.1,<0> ,6.9,<0> (CDA),0.5,<0> (CDA),,<-1> ,,,0.78,<5> [SIC] (CSM),0.76,<3> [GCC],7.5,<0> ,3,<0> ,
tjrbrwq,P,04/07/2022 13:00,1,1,,17.6,<0> ,50.47,<0> ,33.1,<0> ,12.1,<0> (CDA),1.0,<0> (CDA),,<-1> ,,,0.79,<5> [SIC] (CSM),0.78,<3> [GCC],7.6,<0> ,5,<0> ,
tjrbrwq,P,04/07/2022 13:15,1,1,,17.7,<0> ,50.50,<0> ,33.2,<0> ,6.1,<0> (CDA),0.5,<0> (CDA),,<-1> ,,,0.81,<5> [SIC] (CSM),0.80,<3> [GCC],7.5,<0> ,6,<0> ,
tjrbrwq,P,04/07/2022 13:30,1,1,,17.7,<0> ,50.48,<0> ,33.2,<0> ,10.0,<0> (CDA),0.8,<0> (CDA),,<-1> ,,,0.82,<5> [SIC] (CSM),0.81,<3> [GCC],7.6,<0> ,6,<0> ,
tjrbrwq,P,04/07/2022 13:45,1,1,,17.8,<0> ,50.46,<0> ,33.1,<0> ,9.2,<0> (CDA),0.7,<0> (CDA),,<-1> ,,,0.83,<5> [SIC] (CSM),0.82,<3> [GCC],7.6,<0> ,4,<0> ,
tjrbrwq,P,04/07/2022 14:00,1,1,,17.8,<0> ,50.36,<0> ,33.1,<0> ,13.4,<0> (CDA),1.1,<0> (CDA),,<-1> ,,,0.85,<5> [SIC] (CSM),0.85,<3> [GCC],7.6,<0> ,3,<0> ,
tjrbrwq,P,04/07/2022 14:15,1,1,,17.8,<0> ,50.35,<0> ,33.1,<0> ,8.7,<0> (CDA),0.7,<0> (CDA),,<-1> ,,,0.86,<5> [SIC] (CSM),0.86,<3> [GCC],7.5,<0> ,3,<0> ,
tjrbrwq,P,04/07/2022 14:30,1,1,,17.8,<0> ,50.36,<0> ,33.1,<0> ,7.2,<0> (CDA),0.6,<0> (CDA),,<-1> ,,,0.87,<5> [SIC] (CSM),0.87,<3> [GCC],7.5,<0> ,3,<0> ,
tjrbrwq,P,04/07/2022 14:45,1,1,,17.7,<0> ,50.50,<0> ,33.2,<0> ,2.4,<0> (CDA),0.2,<0> (CDA),,<-1> ,,,0.89,<5> [SIC] (CSM),0.89,<3> [GCC],7.5,<0> ,6,<0> ,
tjrbrwq,P,04/07/2022 15:00,1,1,,17.7,<0> ,50.51,<0> ,33.2,<0> ,2.2,<0> (CDA),0.2,<0> (CDA),,<-1> ,,,0.91,<5> [SIC] (CSM),0.91,<3> [GCC],7.5,<0> ,6,<0> ,
tjrbrwq,P,04/07/2022 15:15,1,1,,17.8,<0> ,50.49,<0> ,33.2,<0> ,3.4,<0> (CDA),0.3,<0> (CDA),,<-1> ,,,0.92,<5> [SIC] (CSM),0.92,<3> [GCC],7.5,<0> ,5,<0> ,
tjrbrwq,P,04/07/2022 15:30,1,1,,17.8,<0> ,50.49,<0> ,33.2,<0> ,3.8,<0> (CDA),0.3,<0> (CDA),,<-1> ,,,0.92,<5> [SIC] (CSM),0.92,<3> [GCC],7.5,<0> ,5,<0> ,
tjrbrwq,P,04/07/2022 15:45,1,1,,17.8,<0> ,50.50,<0> ,33.2,<0> ,3.9,<0> (CDA),0.3,<0> (CDA),,<-1> ,,,0.95,<5> [SIC] (CSM),0.95,<3> [GCC],7.5,<0> ,5,<0> ,
tjrbrwq,P,04/07/2022 16:00,1,1,,17.8,<0> ,50.48,<0> ,33.2,<0> ,4.9,<0> (CDA),0.4,<0> (CDA),,<-1> ,,,0.94,<5> [SIC] (CSM),0.94,<3> [GCC],7.5,<0> ,4,<0> ,
tjrbrwq,P,04/07/2022 16:15,1,1,,17.8,<0> ,50.49,<0> ,33.2,<0> ,2.5,<0> (CDA),0.2,<0> (CDA),,<-1> ,,,0.96,<5> [SIC] (CSM),0.96,<3> [GCC],7.5,<0> ,4,<0> ,
tjrbrwq,P,04/07/2022 16:30,1,1,,17.9,<0> ,50.40,<0> ,33.1,<0> ,9.9,<0> (CDA),0.8,<0> (CDA),,<-1> ,,,0.96,<5> [SIC] (CSM),0.96,<3> [GCC],7.6,<0> ,3,<0> ,
tjrbrwq,P,04/07/2022 16:45,1,1,,17.7,<0> ,50.48,<0> ,33.2,<0> ,1.9,<0> (CDA),0.2,<0> (CDA),,<-1> ,,,0.97,<5> [SIC] (CSM),0.97,<3> [GCC],7.6,<0> ,9,<0> ,
tjrbrwq,P,04/07/2022 17:00,1,1,,17.7,<0> ,50.49,<0> ,33.2,<0> ,3.1,<0> (CDA),0.2,<0> (CDA),,<-1> ,,,0.98,<5> [SIC] (CSM),0.98,<3> [GCC],7.6,<0> ,5,<0> ,
tjrbrwq,P,04/07/2022 17:15,1,1,,17.8,<0> ,50.46,<0> ,33.1,<0> ,2.4,<0> (CDA),0.2,<0> (CDA),,<-1> ,,,0.99,<5> [SIC] (CSM),1.00,<3> [GCC],7.5,<0> ,4,<0> ,
tjrbrwq,P,04/07/2022 17:30,1,1,,17.8,<0> ,50.52,<0> ,33.2,<0> ,1.5,<0> (CDA),0.1,<0> (CDA),,<-1> ,,,1.01,<5> [SIC] (CSM),1.02,<3> [GCC],7.5,<0> ,8,<0> ,
tjrbrwq,P,04/07/2022 17:45,1,1,,17.9,<0> ,50.49,<0> ,33.2,<0> ,1.5,<0> (CDA),0.1,<0> (CDA),,<-1> ,,,1.00,<5> [SIC] (CSM),1.01,<3> [GCC],7.5,<0> ,7,<0> ,
tjrbrwq,P,04/07/2022 18:00,1,1,,18.0,<0> ,50.47,<0> ,33.2,<0> ,1.7,<0> (CDA),0.1,<0> (CDA),,<-1> ,,,1.01,<5> [SIC] (CSM),1.02,<3> [GCC],7.6,<0> ,8,<0> ,
tjrbrwq,P,04/07/2022 18:15,1,1,,18.0,<0> ,50.41,<0> ,33.1,<0> ,1.7,<0> (CDA),0.1,<0> (CDA),,<-1> ,,,1.04,<5> [SIC] (CSM),1.05,<3> [GCC],7.6,<0> ,6,<0> ,
tjrbrwq,P,04/07/2022 18:30,1,1,,17.9,<0> ,50.40,<0> ,33.1,<0> ,4.0,<0> (CDA),0.3,<0> (CDA),,<-1> ,,,1.03,<5> [SIC] (CSM),1.04,<3> [GCC],7.6,<0> ,6,<0> ,
tjrbrwq,P,04/07/2022 18:45,1,1,,17.8,<0> ,50.49,<0> ,33.2,<0> ,1.5,<0> (CDA),0.1,<0> (CDA),,<-1> ,,,1.05,<5> [SIC] (CSM),1.06,<3> [GCC],7.6,<0> ,9,<0> ,
tjrbrwq,P,04/07/2022 19:00,1,1,,17.9,<0> ,50.45,<0> ,33.1,<0> ,1.5,<0> (CDA),0.1,<0> (CDA),,<-1> ,,,1.05,<5> [SIC] (CSM),1.05,<3> [GCC],7.6,<0> ,7,<0> ,
tjrbrwq,P,04/07/2022 19:15,1,1,,18.1,<0> ,50.36,<0> ,33.1,<0> ,3.4,<0> (CDA),0.3,<0> (CDA),,<-1> ,,,1.09,<5> [SIC] (CSM),1.09,<3> [GCC],7.5,<0> ,5,<0> ,
tjrbrwq,P,04/07/2022 19:30,1,1,,17.9,<0> ,50.48,<0> ,33.2,<0> ,1.5,<0> (CDA),0.1,<0> (CDA),,<-1> ,,,1.09,<5> [SIC] (CSM),1.09,<3> [GCC],7.5,<0> ,8,<0> ,
tjrbrwq,P,04/07/2022 19:45,1,1,,17.9,<0> ,50.45,<0> ,33.1,<0> ,1.5,<0> (CDA),0.1,<0> (CDA),,<-1> ,,,1.11,<5> [SIC] (CSM),1.11,<3> [GCC],7.5,<0> ,8,<0> ,
tjrbrwq,P,04/07/2022 20:00,1,1,,18.3,<0> ,50.27,<0> ,33.0,<0> ,2.7,<0> (CDA),0.2,<0> (CDA),,<-1> ,,,1.13,<5> [SIC] (CSM),1.13,<3> [GCC],7.6,<0> ,5,<0> ,
tjrbrwq,P,04/07/2022 20:15,1,1,,18.5,<0> ,50.29,<0> ,33.0,<0> ,4.8,<0> (CDA),0.4,<0> (CDA),,<-1> ,,,1.16,<5> [SIC] (CSM),1.16,<3> [GCC],7.6,<0> ,3,<0> ,
tjrbrwq,P,04/07/2022 20:30,1,1,,18.4,<0> ,49.90,<0> ,32.7,<0> ,9.3,<0> (CDA),0.7,<0> (CDA),,<-1> ,,,1.17,<5> [SIC] (CSM),1.17,<3> [GCC],7.6,<0> ,8,<0> ,
tjrbrwq,P,04/07/2022 20:45,1,1,,17.9,<0> ,50.38,<0> ,33.1,<0> ,1.5,<0> (CDA),0.1,<0> (CDA),,<-1> ,,,1.18,<5> [SIC] (CSM),1.18,<3> [GCC],7.5,<0> ,7,<0> ,
tjrbrwq,P,04/07/2022 21:00,1,1,,17.9,<0> ,50.05,<0> ,32.8,<0> ,37.7,<0> (CDA),2.9,<0> (CDA),,<-1> ,,,1.21,<5> [SIC] (CSM),1.21,<3> [GCC],7.8,<0> ,5,<0> ,
tjrbrwq,P,04/07/2022 21:15,1,1,,17.3,<0> ,50.41,<0> ,33.1,<0> ,81.1,<0> ,6.4,<0> ,,<-1> ,,,1.22,<5> [SIC] (CSM),1.21,<3> [GCC],8.0,<0> ,3,<0> ,
tjrbrwq,P,04/07/2022 21:30,1,1,,17.1,<0> ,50.52,<0> ,33.2,<0> ,79.4,<0> ,6.3,<0> ,,<-1> ,,,1.24,<5> [SIC] (CSM),1.24,<3> [GCC],8.0,<0> ,2,<0> ,
tjrbrwq,P,04/07/2022 21:45,1,1,,16.9,<0> ,50.61,<0> ,33.2,<0> ,81.0,<0> ,6.4,<0> ,,<-1> ,,,1.25,<5> [SIC] (CSM),1.25,<3> [GCC],8.0,<0> ,3,<0> ,
tjrbrwq,P,04/07/2022 22:00,1,1,,16.7,<0> ,50.65,<0> ,33.3,<0> ,81.0,<0> ,6.4,<0> ,,<-1> ,,,1.27,<5> [SIC] (CSM),1.27,<3> [GCC],8.0,<0> ,3,<0> ,
tjrbrwq,P,04/07/2022 22:15,1,1,,16.6,<0> ,50.71,<0> ,33.3,<0> ,81.4,<0> ,6.5,<0> ,,<-1> ,,,1.29,<5> [SIC] (CSM),1.29,<3> [GCC],8.0,<0> ,2,<0> ,
tjrbrwq,P,04/07/2022 22:30,1,1,,16.5,<0> ,50.72,<0> ,33.3,<0> ,79.7,<0> ,6.4,<0> ,,<-1> ,,,1.30,<5> [SIC] (CSM),1.30,<3> [GCC],7.9,<0> ,3,<0> ,
tjrbrwq,P,04/07/2022 22:45,1,1,,16.4,<0> ,50.71,<0> ,33.3,<0> ,79.2,<0> ,6.3,<0> ,,<-1> ,,,1.31,<5> [SIC] (CSM),1.31,<3> [GCC],7.9,<0> ,2,<0> ,
tjrbrwq,P,04/07/2022 23:00,1,1,,16.3,<0> ,50.72,<0> ,33.3,<0> ,78.6,<0> ,6.3,<0> ,,<-1> ,,,1.32,<5> [SIC] (CSM),1.32,<3> [GCC],7.9,<0> ,3,<0> ,
tjrbrwq,P,04/07/2022 23:15,1,1,,16.2,<0> ,50.74,<0> ,33.3,<0> ,79.6,<0> ,6.4,<0> ,,<-1> ,,,1.33,<5> [SIC] (CSM),1.33,<3> [GCC],7.9,<0> ,3,<0> ,
tjrbrwq,P,04/07/2022 23:30,1,1,,16.1,<0> ,50.79,<0> ,33.4,<0> ,80.5,<0> ,6.5,<0> ,,<-1> ,,,1.34,<5> [SIC] (CSM),1.34,<3> [GCC],7.9,<0> ,2,<0> ,
tjrbrwq,P,04/07/2022 23:45,1,1,,16.0,<0> ,50.80,<0> ,33.4,<0> ,77.5,<0> ,6.2,<0> ,,<-1> ,,,1.36,<5> [SIC] (CSM),1.36,<3> [GCC],7.9,<0> ,2,<0> ,
tjrbrwq,P,04/08/2022 00:00,1,1,,15.9,<0> ,50.84,<0> ,33.4,<0> ,81.4,<0> ,6.6,<0> ,,<-1> ,,,1.36,<5> [SIC] (CSM),1.36,<3> [GCC],7.9,<0> ,2,<0> ,
tjrbrwq,P,04/08/2022 00:15,1,1,,15.8,<0> ,50.86,<0> ,33.4,<0> ,77.9,<0> ,6.3,<0> ,,<-1> ,,,1.36,<5> [SIC] (CSM),1.36,<3> [GCC],7.9,<0> ,2,<0> ,
tjrbrwq,P,04/08/2022 00:30,1,1,,15.8,<0> ,50.86,<0> ,33.4,<0> ,79.2,<0> ,6.4,<0> ,,<-1> ,,,1.37,<5> [SIC] (CSM),1.37,<3> [GCC],7.9,<0> ,3,<0> ,
tjrbrwq,P,04/08/2022 00:45,1,1,,15.8,<0> ,50.85,<0> ,33.4,<0> ,70.8,<0> ,5.7,<0> ,,<-1> ,,,1.36,<5> [SIC] (CSM),1.36,<3> [GCC],7.9,<0> ,2,<0> ,
tjrbrwq,P,04/08/2022 01:00,1,1,,15.8,<0> ,50.83,<0> ,33.4,<0> ,62.1,<0> ,5.0,<0> ,,<-1> ,,,1.35,<5> [SIC] (CSM),1.35,<3> [GCC],7.8,<0> ,2,<0> ,
tjrbrwq,P,04/08/2022 01:15,1,1,,15.8,<0> ,50.83,<0> ,33.4,<0> ,69.1,<0> ,5.6,<0> ,,<-1> ,,,1.35,<5> [SIC] (CSM),1.35,<3> [GCC],7.9,<0> ,2,<0> ,
tjrbrwq,P,04/08/2022 01:30,1,1,,15.7,<0> ,50.85,<0> ,33.4,<0> ,71.6,<0> ,5.8,<0> ,,<-1> ,,,1.34,<5> [SIC] (CSM),1.35,<3> [GCC],7.9,<0> ,2,<0> ,
tjrbrwq,P,04/08/2022 01:45,1,1,,15.7,<0> ,50.85,<0> ,33.4,<0> ,68.3,<0> ,5.5,<0> ,,<-1> ,,,1.33,<5> [SIC] (CSM),1.34,<3> [GCC],7.9,<0> ,2,<0> ,
